nodo,hora,pax
LineaD:1109,6,115
LineaD:1109,7,403
LineaD:1109,8,566
LineaD:1109,9,482
LineaD:1109,10,376
LineaD:1109,11,516
LineaD:1109,12,720
LineaD:1109,13,786
LineaD:1109,14,738
LineaD:1109,15,883
LineaD:1109,16,945
LineaD:1109,17,1069
LineaD:1109,18,859
LineaD:1109,19,563
LineaD:1109,20,291
LineaD:1109,21,171
LineaD:1109,22,83
LineaD:1109,23,11
LineaD:1110,5,9
LineaD:1110,6,100
LineaD:1110,7,577
LineaD:1110,8,682
LineaD:1110,9,629
LineaD:1110,10,403
LineaD:1110,11,357
LineaD:1110,12,507
LineaD:1110,13,608
LineaD:1110,14,496
LineaD:1110,15,566
LineaD:1110,16,636
LineaD:1110,17,702
LineaD:1110,18,569
LineaD:1110,19,450
LineaD:1110,20,276
LineaD:1110,21,171
LineaD:1110,22,80
LineaD:1110,23,7
LineaD:1111,5,14
LineaD:1111,6,110
LineaD:1111,7,559
LineaD:1111,8,748
LineaD:1111,9,657
LineaD:1111,10,476
LineaD:1111,11,531
LineaD:1111,12,725
LineaD:1111,13,745
LineaD:1111,14,700
LineaD:1111,15,751
LineaD:1111,16,937
LineaD:1111,17,914
LineaD:1111,18,887
LineaD:1111,19,705
LineaD:1111,20,631
LineaD:1111,21,335
LineaD:1111,22,152
LineaD:1111,23,22
LineaD:1112,5,10
LineaD:1112,6,82
LineaD:1112,7,457
LineaD:1112,8,621
LineaD:1112,9,538
LineaD:1112,10,385
LineaD:1112,11,338
LineaD:1112,12,457
LineaD:1112,13,448
LineaD:1112,14,389
LineaD:1112,15,401
LineaD:1112,16,592
LineaD:1112,17,578
LineaD:1112,18,493
LineaD:1112,19,440
LineaD:1112,20,338
LineaD:1112,21,144
LineaD:1112,22,64
LineaD:1112,23,11
LineaD:1113,5,8
LineaD:1113,6,61
LineaD:1113,7,308
LineaD:1113,8,386
LineaD:1113,9,405
LineaD:1113,10,345
LineaD:1113,11,379
LineaD:1113,12,451
LineaD:1113,13,406
LineaD:1113,14,405
LineaD:1113,15,447
LineaD:1113,16,446
LineaD:1113,17,538
LineaD:1113,18,437
LineaD:1113,19,349
LineaD:1113,20,242
LineaD:1113,21,129
LineaD:1113,22,55
LineaD:1113,23,7
LineaD:1114,5,8
LineaD:1114,6,107
LineaD:1114,7,258
LineaD:1114,8,497
LineaD:1114,9,613
LineaD:1114,10,722
LineaD:1114,11,869
LineaD:1114,12,1345
LineaD:1114,13,1103
LineaD:1114,14,906
LineaD:1114,15,1048
LineaD:1114,16,1325
LineaD:1114,17,1323
LineaD:1114,18,1255
LineaD:1114,19,1026
LineaD:1114,20,977
LineaD:1114,21,617
LineaD:1114,22,365
LineaD:1114,23,54
LineaD:1115,5,14
LineaD:1115,6,75
LineaD:1115,7,253
LineaD:1115,8,385
LineaD:1115,9,452
LineaD:1115,10,487
LineaD:1115,11,560
LineaD:1115,12,654
LineaD:1115,13,826
LineaD:1115,14,709
LineaD:1115,15,781
LineaD:1115,16,963
LineaD:1115,17,983
LineaD:1115,18,1001
LineaD:1115,19,775
LineaD:1115,20,676
LineaD:1115,21,360
LineaD:1115,22,187
LineaD:1115,23,20
LineaD:1116,5,1
LineaD:1116,6,36
LineaD:1116,7,142
LineaD:1116,8,223
LineaD:1116,9,292
LineaD:1116,10,358
LineaD:1116,11,440
LineaD:1116,12,647
LineaD:1116,13,1031
LineaD:1116,14,817
LineaD:1116,15,841
LineaD:1116,16,867
LineaD:1116,17,871
LineaD:1116,18,1008
LineaD:1116,19,385
LineaD:1116,20,249
LineaD:1116,21,161
LineaD:1116,22,212
LineaD:1116,23,15
LineaD:1117,5,8
LineaD:1117,6,42
LineaD:1117,7,197
