linea,periodo,sentido_hacia,orden_llegada,nodo,estacion_sbase,suben,bajan,carga_saliente
LineaD,HPT,Catedral,10,LineaD:1109,Pitalia,814.5109111143382,144.2619091514404,6461.098429371096
LineaD,HPT,Catedral,11,LineaD:1108,Palermo,1114.356069777169,369.9842016106549,5790.849427408199
LineaD,HPT,Catedral,12,LineaD:1107,Carranza,603.5353755329718,84.11533545211,5046.4775592416845
LineaD,HPT,Catedral,13,LineaD:1106,Olleros,846.3411930898624,58.08943886200239,4527.057519160823
LineaD,HPT,Catedral,14,LineaD:1105,J Hernandez,662.3022019146537,42.63645920279732,3738.805764932963
LineaD,HPT,Catedral,15,LineaD:1104,Juramento,1172.014925774076,18.87490355296965,3119.1400222211064
LineaD,HPT,Catedral,16,LineaD:1103,CongresoTuc,1966.0,0.0,1966.0
LineaD,HPT,CongresoTuc,1,LineaD:1118,Catedral,3858.0,0.0,3858.0
LineaD,HPT,CongresoTuc,2,LineaD:1117,9 de julio,2292.44708206348,668.352285340807,5482.094796722673
LineaD,HPT,CongresoTuc,3,LineaD:1116,Tribuna,772.5407611298853,133.2517348537836,6121.383822998774
LineaD,HPT,CongresoTuc,4,LineaD:1115,CallaoD,768.0539018983789,263.68388566466996,6625.753839232483
LineaD,HPT,CongresoTuc,5,LineaD:1114,FMedicina,547.0,244.2441703993934,6928.50966883309
LineaD,HPT,CongresoTuc,6,LineaD:1113,Pueyrredon,1569.086694830582,834.73024953558,7662.866114128092
LineaD,HPT,CongresoTuc,7,LineaD:1112,Aguero,244.0,575.1192687460394,7331.746845382052
LineaD,HPT,CongresoTuc,8,LineaD:1111,Bulnes,364.0,814.4922123064517,6881.2546330756
LineaD,HPT,CongresoTuc,9,LineaD:1110,Scal Ortiz,414.0,732.3185380280117,6562.936095047588
LineaD,HPT,CongresoTuc,10,LineaD:1109,Pitalia,157.4890888856617,585.4447342689674,6134.980449664283
LineaD,HPT,CongresoTuc,11,LineaD:1108,Palermo,193.6439302228312,1358.8094807109821,4969.814899176132
LineaD,HPT,CongresoTuc,12,LineaD:1107,Carranza,86.46462446702822,714.9087372159532,4341.370786427207
LineaD,HPT,CongresoTuc,13,LineaD:1106,Olleros,87.6588069101376,704.3001983310216,3724.729395006323
LineaD,HPT,CongresoTuc,14,LineaD:1105,J Hernandez,41.15236463509734,899.351102247316,2866.5306573941043
LineaD,HPT,CongresoTuc,15,LineaD:1104,Juramento,7.578254954720933,1269.962877946029,1604.1460344027964
LineaD,HPT,CongresoTuc,16,LineaD:1103,CongresoTuc,0.0,1604.1460344027955,0.0
LineaE,HPM,RetiroE,1,LineaE:1164,RetiroE,0.0,686.5560666012714,0.0
LineaE,HPM,RetiroE,2,LineaE:1165,Catalinas,0.0,1514.8157246631395,686.5560666012711
LineaE,HPM,RetiroE,3,LineaE:1166,CCentral,491.8559305634886,1799.7227985072896,2201.3717912644106
LineaE,HPM,RetiroE,4,LineaE:1119,Bolivar,540.6538046257988,1479.9679413149966,3509.2386592082116
LineaE,HPM,RetiroE,5,LineaE:1120,Belgrano,85.0,419.81424471702593,4448.552795897409
LineaE,HPM,RetiroE,6,LineaE:1121,Independencia E,1107.474940189244,948.6310895076213,4783.367040614435
LineaE,HPM,RetiroE,7,LineaE:1122,SanJose,119.8652296584662,80.64324217345127,4624.523189932812
LineaE,HPM,RetiroE,8,LineaE:1123,ERios,194.6826646207401,185.2051591539742,4585.301202447798
LineaE,HPM,RetiroE,9,LineaE:1124,Pichin,177.5651871664989,66.07047074139024,4575.823696981031
LineaE,HPM,RetiroE,10,LineaE:1125,Jujuy,1049.340415055943,1209.4773767329048,4464.328980555923
LineaE,HPM,RetiroE,11,LineaE:1126,Urquiza,354.0754458463126,43.88398893950886,4624.465942232886
LineaE,HPM,RetiroE,12,LineaE:1127,Boedo,513.504822554426,37.49314661062527,4314.274485326082
LineaE,HPM,RetiroE,13,LineaE:1128,LaPlata,593.620628466128,15.908635812406025,3838.262809382281
LineaE,HPM,RetiroE,14,LineaE:1129,Moreno,622.45194598145,24.106123886934007,3260.550816728559
LineaE,HPM,RetiroE,15,LineaE:1130,EMitre,671.7371271352775,19.87430819087881,2662.2049946340426
LineaE,HPM,RetiroE,16,LineaE:1131,Medalla,306.6185045990937,2.282852946306182,2010.342175689644
LineaE,HPM,RetiroE,17,LineaE:1132,Varela,335.2552143983143,0.0,1706.0065240368563
LineaE,HPM,RetiroE,18,LineaE:1133,Virreyes,1370.751309638542,0.0,1370.751309638542
LineaE,HPM,Virreyes,1,LineaE:1164,RetiroE,678.8756307317651,0.0,678.8756307317651
LineaE,HPM,Virreyes,2,LineaE:1165,Catalinas,45.38934506434632,10.88581628731153,713.3791595088
LineaE,HPM,Virreyes,3,LineaE:1166,CCentral,331.8910346972614,181.99773799866085,863.2724562074004
LineaE,HPM,Virreyes,4,LineaE:1119,Bolivar,105.84619537420112,233.04665458339088,736.0719969982106
