comp_origen,comp_destino,rango_horario,etapas,expandidas,expandidas_completas
LineaB:1086,LineaD:1106,8,1,1.207066514475459,1.207066514475459
LineaB:1086,LineaD:1106,9,1,1.2288473505888862,1.2288473505888862
LineaB:1086,LineaD:1106,11,1,1.2524394404640051,1.2524394404640051
LineaB:1086,LineaD:1106,12,3,3.7510233633148617,3.7510233633148617
LineaB:1086,LineaD:1106,13,4,5.025391708721959,5.025391708721959
LineaB:1086,LineaD:1106,15,1,1.25492483495506,1.25492483495506
LineaB:1086,LineaD:1106,16,4,5.033543021644099,5.033543021644099
LineaB:1086,LineaD:1106,17,3,3.7602568985216216,3.7602568985216216
LineaB:1086,LineaD:1106,18,7,8.851881820822442,8.851881820822442
LineaB:1086,LineaD:1106,19,1,1.348399100705481,1.348399100705481
LineaB:1086,LineaD:1106,20,1,1.3922966401414678,1.3922966401414678
LineaB:1086,LineaD:1106,21,1,1.427680478428022,1.427680478428022
LineaB:1086,LineaD:1107,7,2,2.446911519198665,2.446911519198665
LineaB:1086,LineaD:1107,12,1,1.250341121104954,1.250341121104954
LineaB:1086,LineaD:1107,14,1,1.2491664413805532,1.2491664413805532
LineaB:1086,LineaD:1107,16,2,2.5167715108220494,2.5167715108220494
LineaB:1086,LineaD:1107,17,2,2.506837932347748,2.506837932347748
LineaB:1086,LineaD:1107,18,4,5.058218183327109,5.058218183327109
LineaB:1086,LineaD:1107,19,2,2.696798201410962,2.696798201410962
LineaB:1086,LineaD:1107,20,1,1.3922966401414678,1.3922966401414678
LineaB:1086,LineaD:1107,21,2,2.855360956856044,2.855360956856044
LineaB:1086,LineaD:1107,22,1,1.4263226225251542,1.4263226225251542
LineaB:1086,LineaD:1108,6,1,1.251834862385321,1.251834862385321
LineaB:1086,LineaD:1108,7,1,1.2234557595993325,1.2234557595993325
LineaB:1086,LineaD:1108,8,2,2.414133028950918,2.414133028950918
LineaB:1086,LineaD:1108,9,1,1.2288473505888862,1.2288473505888862
LineaB:1086,LineaD:1108,10,4,5.009478509633612,5.009478509633612
LineaB:1086,LineaD:1108,11,3,3.7573183213920154,3.7573183213920154
LineaB:1086,LineaD:1108,12,1,1.250341121104954,1.250341121104954
LineaB:1086,LineaD:1108,13,4,5.025391708721959,5.025391708721959
LineaB:1086,LineaD:1108,14,4,4.996665765522213,3.7474993241416596
LineaB:1086,LineaD:1108,15,1,1.25492483495506,1.25492483495506
LineaB:1086,LineaD:1108,16,2,2.5167715108220494,2.5167715108220494
LineaB:1086,LineaD:1108,17,3,3.7602568985216216,3.7602568985216216
LineaB:1086,LineaD:1108,18,3,3.7936636374953316,3.7936636374953316
LineaB:1086,LineaD:1108,19,5,6.741995503527405,6.741995503527405
LineaB:1086,LineaD:1108,20,3,4.176889920424403,4.176889920424403
LineaB:1086,LineaD:1108,21,5,7.13840239214011,7.13840239214011
LineaB:1086,LineaD:1108,22,1,1.4263226225251542,1.4263226225251542
LineaB:1086,LineaD:1109,7,1,1.2234557595993325,1.2234557595993325
LineaB:1086,LineaD:1109,8,4,4.828266057901836,4.828266057901836
LineaB:1086,LineaD:1109,9,3,3.6865420517666587,3.6865420517666587
LineaB:1086,LineaD:1109,10,3,3.757108882225209,3.757108882225209
LineaB:1086,LineaD:1109,11,4,5.0097577618560205,5.0097577618560205
LineaB:1086,LineaD:1109,12,5,6.25170560552477,6.25170560552477
LineaB:1086,LineaD:1109,13,5,6.281739635902449,6.281739635902449
LineaB:1086,LineaD:1109,14,5,6.245832206902766,6.245832206902766
LineaB:1086,LineaD:1109,15,4,5.01969933982024,5.01969933982024
LineaB:1086,LineaD:1109,16,7,8.808700287877173,8.808700287877173
LineaB:1086,LineaD:1109,17,3,3.7602568985216216,2.506837932347748
LineaB:1086,LineaD:1109,18,2,2.5291090916635546,2.5291090916635546
LineaB:1086,LineaD:1109,19,2,2.696798201410962,2.696798201410962
LineaB:1086,LineaD:1109,20,7,9.746076480990276,9.746076480990276
LineaB:1086,LineaD:1109,21,1,1.427680478428022,1.427680478428022
LineaB:1086,LineaD:1109,22,3,4.278967867575463,4.278967867575463
LineaB:1086,LineaD:1110,7,1,1.2234557595993325,1.2234557595993325
LineaB:1086,LineaD:1110,8,2,2.414133028950918,2.414133028950918
LineaB:1086,LineaD:1110,10,3,3.757108882225209,3.757108882225209
LineaB:1086,LineaD:1110,11,3,3.7573183213920154,3.7573183213920154
LineaB:1086,LineaD:1110,12,2,2.500682242209908,2.500682242209908
LineaB:1086,LineaD:1110,13,2,2.5126958543609796,2.5126958543609796
LineaB:1086,LineaD:1110,14,1,1.2491664413805532,1.2491664413805532
LineaB:1086,LineaD:1110,15,3,3.76477450486518,3.76477450486518
LineaB:1086,LineaD:1110,16,2,2.5167715108220494,2.5167715108220494
LineaB:1086,LineaD:1110,17,2,2.506837932347748,2.506837932347748
LineaB:1086,LineaD:1110,19,7,9.438793704938366,9.438793704938366
LineaB:1086,LineaD:1110,20,1,1.3922966401414678,1.3922966401414678
LineaB:1086,LineaD:1110,21,5,7.13840239214011,7.13840239214011
LineaB:1086,LineaD:1110,22,3,4.278967867575463,4.278967867575463
LineaB:1086,LineaD:1111,6,1,1.251834862385321,1.251834862385321
LineaB:1086,LineaD:1111,8,1,1.207066514475459,1.207066514475459
LineaB:1086,LineaD:1111,9,1,1.2288473505888862,1.2288473505888862
LineaB:1086,LineaD:1111,10,1,1.252369627408403,1.252369627408403
LineaB:1086,LineaD:1111,11,4,5.0097577618560205,5.0097577618560205
LineaB:1086,LineaD:1111,13,1,1.2563479271804898,1.2563479271804898
LineaB:1086,LineaD:1111,14,3,3.7474993241416596,3.7474993241416596
LineaB:1086,LineaD:1111,15,5,6.274624174775299,6.274624174775299
LineaB:1086,LineaD:1111,16,3,3.775157266233074,3.775157266233074
LineaB:1086,LineaD:1111,17,6,7.520513797043243,7.520513797043243
LineaB:1086,LineaD:1111,18,3,3.7936636374953316,3.7936636374953316
LineaB:1086,LineaD:1111,19,5,6.741995503527405,6.741995503527405
LineaB:1086,LineaD:1111,20,5,6.961483200707339,6.961483200707339
LineaB:1086,LineaD:1111,21,1,1.427680478428022,1.427680478428022
LineaB:1086,LineaD:1111,22,1,1.4263226225251542,1.4263226225251542
LineaB:1086,LineaD:1112,10,1,1.252369627408403,1.252369627408403
LineaB:1086,LineaD:1112,12,1,1.250341121104954,1.250341121104954
LineaB:1086,LineaD:1112,13,4,5.025391708721959,5.025391708721959
LineaB:1086,LineaD:1112,14,2,2.4983328827611064,2.4983328827611064
LineaB:1086,LineaD:1112,16,2,2.5167715108220494,2.5167715108220494
LineaB:1086,LineaD:1112,17,2,2.506837932347748,2.506837932347748
LineaB:1086,LineaD:1112,19,1,1.348399100705481,1.348399100705481
LineaB:1086,LineaD:1112,20,3,4.176889920424403,2.7845932802829356
LineaB:1086,LineaD:1114,6,2,2.503669724770642,2.503669724770642
LineaB:1086,LineaD:1114,7,1,1.2234557595993325,1.2234557595993325
LineaB:1086,LineaD:1114,8,1,1.207066514475459,1.207066514475459
LineaB:1086,LineaD:1114,9,1,1.2288473505888862,1.2288473505888862
LineaB:1086,LineaD:1114,10,1,1.252369627408403,1.252369627408403
LineaB:1086,LineaD:1114,11,2,2.5048788809280103,2.5048788809280103
LineaB:1086,LineaD:1114,12,2,2.500682242209908,2.500682242209908
LineaB:1086,LineaD:1114,13,4,5.025391708721959,3.7690437815414697
LineaB:1086,LineaD:1114,15,4,5.01969933982024,5.01969933982024
LineaB:1086,LineaD:1114,16,3,3.775157266233074,3.775157266233074
LineaB:1086,LineaD:1114,17,4,5.013675864695496,5.013675864695496
LineaB:1086,LineaD:1114,18,1,1.2645545458317773,1.2645545458317773
LineaB:1086,LineaD:1114,19,2,2.696798201410962,1.348399100705481
LineaB:1086,LineaD:1114,20,2,2.7845932802829356,2.7845932802829356
LineaB:1086,LineaD:1114,21,4,5.710721913712088,5.710721913712088
LineaB:1086,LineaD:1114,23,1,1.4884910485933505,1.4884910485933505
LineaB:1086,LineaD:1115,7,5,6.117278797996662,6.117278797996662
LineaB:1086,LineaD:1115,9,2,2.4576947011777723,2.4576947011777723
LineaB:1086,LineaD:1115,10,3,3.757108882225209,3.757108882225209
LineaB:1086,LineaD:1115,11,1,1.2524394404640051,1.2524394404640051
LineaB:1086,LineaD:1115,12,8,10.002728968839632,10.002728968839632
LineaB:1086,LineaD:1115,13,6,7.538087563082939,7.538087563082939
LineaB:1086,LineaD:1115,14,1,1.2491664413805532,1.2491664413805532
LineaB:1086,LineaD:1115,15,6,7.52954900973036,7.52954900973036
LineaB:1086,LineaD:1115,16,8,10.067086043288198,10.067086043288198
LineaB:1086,LineaD:1115,17,8,10.027351729390992,10.027351729390992
LineaB:1086,LineaD:1115,18,7,8.851881820822442,8.851881820822442
LineaB:1086,LineaD:1115,19,7,9.438793704938366,9.438793704938366
LineaB:1086,LineaD:1115,20,4,5.569186560565871,2.7845932802829356
LineaB:1086,LineaD:1115,21,2,2.855360956856044,2.855360956856044
LineaB:1086,LineaD:1115,22,2,2.8526452450503084,2.8526452450503084
LineaB:1086,LineaD:1116,7,2,2.446911519198665,2.446911519198665
LineaB:1086,LineaD:1116,8,5,6.035332572377295,6.035332572377295
LineaB:1086,LineaD:1116,9,6,7.3730841035333174,7.3730841035333174
LineaB:1086,LineaD:1116,10,9,11.271326646675627,11.271326646675627
LineaB:1086,LineaD:1116,11,3,3.7573183213920154,3.7573183213920154
LineaB:1086,LineaD:1116,12,8,10.002728968839632,10.002728968839632
LineaB:1086,LineaD:1116,13,8,10.050783417443919,10.050783417443919
LineaB:1086,LineaD:1116,14,2,2.4983328827611064,2.4983328827611064
LineaB:1086,LineaD:1116,15,3,3.76477450486518,3.76477450486518
LineaB:1086,LineaD:1116,16,8,10.067086043288198,10.067086043288198
LineaB:1086,LineaD:1116,17,5,6.26709483086937,5.013675864695496
LineaB:1086,LineaD:1116,18,5,6.322772729158887,5.058218183327109
LineaB:1086,LineaD:1116,19,5,6.741995503527405,6.741995503527405
LineaB:1086,LineaD:1116,20,7,9.746076480990276,8.353779840848807
LineaB:1086,LineaD:1116,21,4,5.710721913712088,5.710721913712088
LineaB:1086,LineaD:1116,22,3,4.278967867575463,4.278967867575463
LineaB:1086,LineaD:1116,23,1,1.4884910485933505,1.4884910485933505
LineaB:1086,LineaD:1117,6,1,1.251834862385321,1.251834862385321
LineaB:1086,LineaD:1117,7,8,9.78764607679466,9.78764607679466
LineaB:1086,LineaD:1117,8,9,10.863598630279132,10.863598630279132
LineaB:1086,LineaD:1117,9,9,11.059626155299975,11.059626155299975
LineaB:1086,LineaD:1117,10,8,10.018957019267225,10.018957019267225
LineaB:1086,LineaD:1117,11,13,16.281712726032065,16.281712726032065
LineaB:1086,LineaD:1117,12,18,22.506140179889172,21.255799058784216
LineaB:1086,LineaD:1117,13,18,22.614262689248818,21.357914762068326
LineaB:1086,LineaD:1117,14,15,18.7374966207083,17.488330179327747
LineaB:1086,LineaD:1117,15,14,17.568947689370837,16.31402285441578
LineaB:1086,LineaD:1117,16,14,17.617400575754345,16.359014820343322
LineaB:1086,LineaD:1117,17,15,18.801284492608108,16.29444656026036
LineaB:1086,LineaD:1117,18,13,16.439209095813105,13.91010000414955
LineaB:1086,LineaD:1117,19,10,13.48399100705481,13.48399100705481
