linea,periodo,sentido_hacia,orden_llegada,nodo,estacion_sbase,suben,bajan,carga_saliente,direction_id,carga_predicha,comparable,dif
LineaH,HPM,Fderecho,7,LineaH:1140,Once,1911.913398007465,789.0062340962564,6728.071355918692,1.0,7692.0,True,963.9286440813084
LineaH,HPM,Fderecho,8,LineaH:1141,Corrientes,648.8368211772496,1645.476659023011,5731.43151807293,1.0,5644.0,True,-87.43151807292998
LineaH,HPM,Fderecho,9,LineaH:1160,Cordoba,51.57488554254502,604.5565480782468,5178.449855537228,1.0,5085.0,True,-93.44985553722836
LineaH,HPM,Fderecho,10,LineaH:1161,SantaFe,229.011226889961,3836.254390312675,1571.2066921145147,1.0,1720.0,True,148.79330788548532
LineaH,HPM,Fderecho,11,LineaH:1162,LasHeras,3.172342673436988,964.7640436931066,609.6149910948451,1.0,671.0,True,61.385008905154905
LineaH,HPM,Fderecho,12,LineaH:1163,FDerecho,0.0,609.6149910948443,0.0,1.0,0.0,False,0.0
LineaA,HPT,PMayo,1,LineaA:1076,PMayo,0.0,581.1563933848523,-1.3642420526593924e-12,1.0,0.0,False,1.3642420526593924e-12
LineaA,HPT,PMayo,2,LineaA:1075,Peru,267.0,719.6485794931535,581.156393384851,1.0,595.0,True,13.843606615149042
LineaA,HPT,PMayo,3,LineaA:1074,Piedras,56.0,213.09067757444586,1033.8049728780045,1.0,927.0,True,-106.80497287800449
LineaA,HPT,PMayo,4,LineaA:1073,Lima,226.522916927195,2499.3762732274126,1190.8956504524504,1.0,1015.0,True,-175.89565045245035
LineaA,HPT,PMayo,5,LineaA:1072,SnzPena,194.0,355.66030426204617,3463.749006752668,1.0,3386.0,True,-77.74900675266781
LineaA,HPT,PMayo,6,LineaA:1071,Congreso,200.0,655.2253454829217,3625.409311014714,1.0,3529.0,True,-96.40931101471415
LineaA,HPT,PMayo,7,LineaA:1070,Pasco,337.0,438.716100888565,4080.6346564976357,1.0,4265.0,True,184.36534350236434
LineaA,HPT,PMayo,8,LineaA:1069,Alberti,0.0,0.0,4182.350757386201,1.0,0.0,False,-4182.350757386201
LineaA,HPT,PMayo,9,LineaA:1068,Miserere,924.0,1521.2623238603487,4182.350757386201,1.0,4166.0,True,-16.350757386200712
LineaA,HPT,PMayo,10,LineaA:1067,Loria,326.2482168006993,169.22039428177905,4779.61308124655,1.0,4914.0,True,134.38691875345012
LineaA,HPT,PMayo,11,LineaA:1066,CBarros,358.4473195808103,246.93928306125076,4622.5852587276295,1.0,4745.0,True,122.41474127237052
