periodo,origen,destino,viajes
hpt,LineaA:1063,LineaD:1110,2.0
hpt,LineaA:1063,LineaD:1111,6.0
hpt,LineaA:1063,LineaD:1112,4.0
hpt,LineaA:1063,LineaD:1113,2.0
hpt,LineaA:1063,LineaD:1114,6.0
hpt,LineaA:1063,LineaD:1115,2.0
hpt,LineaA:1063,LineaD:1116,4.0
hpt,LineaA:1063,LineaD:1117,2.0
hpt,LineaA:1063,LineaD:1118,4.0
hpt,LineaA:1063,LineaE:1133,4.0
hpt,LineaA:1063,LineaE:1132,2.0
hpt,LineaA:1063,LineaE:1130,2.0
hpt,LineaA:1063,LineaE:1129,2.0
hpt,LineaA:1063,LineaE:1128,4.0
hpt,LineaA:1063,LineaE:1127,6.0
hpt,LineaA:1063,LineaE:1126,2.0
hpt,LineaA:1063,LineaE:1125,6.0
hpt,LineaA:1063,LineaE:1122,2.0
hpt,LineaA:1063,LineaE:1121,23.0
hpt,LineaA:1063,LineaE:1120,4.0
hpt,LineaA:1063,LineaE:1119,4.0
hpt,LineaA:1063,LineaH:1134,8.0
hpt,LineaA:1063,LineaH:1135,6.0
hpt,LineaA:1063,LineaH:1136,2.0
hpt,LineaA:1063,LineaH:1137,4.0
hpt,LineaA:1063,LineaH:1138,2.0
hpt,LineaA:1063,LineaH:1139,4.0
hpt,LineaA:1063,LineaH:1140,2.0
hpt,LineaA:1063,LineaH:1141,2.0
hpt,LineaA:1063,LineaH:1160,6.0
hpt,LineaA:1063,LineaH:1161,15.0
hpt,LineaA:1063,LineaH:1162,19.0
hpt,LineaA:1063,LineaH:1163,2.0
hpt,LineaA:1063,LineaE:1166,2.0
hpt,LineaA:1063,LineaE:1164,2.0
hpt,LineaA:1064,LineaA:1059,57.0
hpt,LineaA:1064,LineaA:1060,47.0
hpt,LineaA:1064,LineaA:1061,26.0
hpt,LineaA:1064,LineaA:1062,24.0
hpt,LineaA:1064,LineaA:1063,20.0
hpt,LineaA:1064,LineaA:1065,9.0
hpt,LineaA:1064,LineaA:1066,33.0
hpt,LineaA:1064,LineaA:1067,16.0
hpt,LineaA:1064,LineaA:1068,20.0
hpt,LineaA:1064,LineaA:1069,28.0
hpt,LineaA:1064,LineaA:1071,30.0
hpt,LineaA:1064,LineaA:1072,21.0
hpt,LineaA:1064,LineaA:1073,25.0
hpt,LineaA:1064,LineaA:1074,10.0
hpt,LineaA:1064,LineaA:1075,6.0
hpt,LineaA:1064,LineaA:1076,37.0
hpt,LineaA:1064,LineaB:1077,6.0
hpt,LineaA:1064,LineaB:1078,3.0
hpt,LineaA:1064,LineaB:1080,1.0
hpt,LineaA:1064,LineaB:1084,1.0
hpt,LineaA:1064,LineaB:1085,3.0
hpt,LineaA:1064,LineaB:1086,3.0
hpt,LineaA:1064,LineaB:1087,3.0
hpt,LineaA:1064,LineaB:1088,2.0
hpt,LineaA:1064,LineaB:1089,2.0
