comp_origen,comp_destino,paso5,sbase,nombre_origen,nombre_destino
LineaA:1061,LineaB:1082,9.928290090956999,16.0,Carabobo,Dorrego
LineaA:1061,LineaB:1083,36.34500177539441,22.0,Carabobo,angel Gallardo
LineaA:1061,LineaB:1084,9.939342945496499,1.0,Carabobo,Malabia
LineaA:1061,LineaB:1085,51.96440276877614,42.0,Carabobo,Medrano
LineaA:1061,LineaB:1086,30.32694871101451,41.0,Carabobo,Carlos Gardel
LineaA:1061,LineaB:1088,19.955238568297382,29.0,Carabobo,Pasteur
LineaA:1061,LineaB:1089,43.52976808060352,45.0,Carabobo,Callao [B]
LineaA:1061,LineaB:1090,50.89634337904359,54.0,Carabobo,Uruguay
LineaA:1061,LineaB:1092,41.96452872184639,36.0,Carabobo,Florida
LineaA:1061,LineaC:1094,321.687911810712,444.0,Carabobo,Constitucion
LineaA:1061,LineaC:1095,25.206441995976455,40.0,Carabobo,San Juan
LineaA:1061,LineaC:1097,27.570964969697318,29.0,Carabobo,Moreno
LineaA:1061,LineaC:1098,261.8005470267539,398.0,Carabobo,Avenida de Mayo / Lima
LineaA:1061,LineaC:1100,70.70079050508916,53.0,Carabobo,Lavalle
LineaA:1061,LineaC:1101,76.60249889899332,66.0,Carabobo,General San Martin
LineaA:1061,LineaD:1103,37.74385901277519,56.0,Carabobo,Congreso de Tucuman
LineaA:1061,LineaD:1104,39.894888007983006,24.0,Carabobo,Juramento
LineaA:1061,LineaD:1105,18.56283368175613,14.0,Carabobo,Jose Hernandez
LineaA:1061,LineaD:1106,25.278863598121617,51.0,Carabobo,Olleros
LineaA:1061,LineaD:1107,27.083732533033963,26.0,Carabobo,Ministro Carranza
LineaA:1061,LineaD:1108,37.65953655702164,42.0,Carabobo,Palermo
LineaA:1061,LineaD:1109,56.270646475886466,23.0,Carabobo,Plaza Italia
LineaA:1061,LineaD:1110,30.32501892438852,30.0,Carabobo,Scalabrini Ortiz
LineaA:1061,LineaD:1111,60.62587891314234,72.0,Carabobo,Bulnes
LineaA:1061,LineaD:1112,20.00945788695282,15.0,Carabobo,Agüero
LineaA:1061,LineaD:1114,73.58367443561109,22.0,Carabobo,Facultad de Medicina
LineaA:1061,LineaD:1115,97.20384714618616,45.0,Carabobo,Callao [D]
LineaA:1061,LineaD:1116,121.31658353041914,76.0,Carabobo,Tribunales
LineaA:1061,LineaD:1117,55.0610466030358,66.0,Carabobo,9 de Julio / Carlos Pellegrini / Diagonal Norte
LineaA:1061,LineaE:1119,690.9860674451388,784.0,Carabobo,Bolivar / Catedral / Peru
LineaA:1061,LineaE:1120,30.951370581252647,33.0,Carabobo,Belgrano
LineaA:1061,LineaE:1121,134.4482421505276,196.0,Carabobo,Independencia
LineaA:1061,LineaE:1122,27.300846621016962,4.0,Carabobo,San Jose
LineaA:1061,LineaE:1123,20.48529572695563,1.0,Carabobo,Entre Rios
LineaA:1061,LineaE:1124,10.306327157040577,3.0,Carabobo,Pichincha
LineaA:1061,LineaE:1126,5.0333135814572785,0.0,Carabobo,General Urquiza
LineaA:1061,LineaE:1127,11.597234587484516,8.0,Carabobo,Boedo
LineaA:1061,LineaE:1128,21.53177958961666,4.0,Carabobo,La Plata
LineaA:1061,LineaE:1129,15.319169094422744,0.0,Carabobo,Jose Maria Moreno
LineaA:1061,LineaE:1130,5.291431212630684,2.0,Carabobo,Emilio Mitre
LineaA:1061,LineaE:1131,20.355347712207937,9.0,Carabobo,Medalla Milagrosa
LineaA:1061,LineaE:1132,19.37513453585098,0.0,Carabobo,Varela
LineaA:1061,LineaE:1133,7.607184036002741,6.0,Carabobo,Plaza de los Virreyes
LineaA:1061,LineaE:1164,184.2683554998283,119.0,Carabobo,Retiro
LineaA:1061,LineaE:1165,134.34619523179734,110.0,Carabobo,Catalinas
LineaA:1061,LineaE:1166,107.24021183700488,73.0,Carabobo,Correo Central / Leandro N. Alem
LineaA:1061,LineaH:1134,33.943015433440564,47.0,Carabobo,Hospitales
LineaA:1061,LineaH:1135,38.48893578217446,49.0,Carabobo,Parque Patricios
LineaA:1061,LineaH:1136,46.24568917060161,42.0,Carabobo,Caseros
LineaA:1061,LineaH:1137,22.705419946745657,47.0,Carabobo,Inclan
LineaA:1061,LineaH:1138,25.26437570093103,28.0,Carabobo,Humberto 1 / Jujuy
LineaA:1061,LineaH:1139,38.00950547529207,33.0,Carabobo,Venezuela
LineaA:1061,LineaH:1140,300.17754342157065,283.0,Carabobo,Once / Plaza Miserere
LineaA:1061,LineaH:1141,77.49539831177374,55.0,Carabobo,Corrientes / Pueyrredon
LineaA:1061,LineaH:1160,111.16781258254005,83.0,Carabobo,Cordoba
LineaA:1061,LineaH:1161,152.19359638755978,188.0,Carabobo,Pueyrredon / Santa Fe
LineaA:1061,LineaH:1162,147.22415775232,155.0,Carabobo,Las Heras
LineaA:1061,LineaH:1163,43.56342603782619,74.0,Carabobo,Facultad de Derecho
LineaA:1062,LineaA:1059,155.89141931899343,175.0,Puan,San Pedrito
LineaA:1062,LineaA:1060,130.05013007188933,171.0,Puan,San Jose de Flores
LineaA:1062,LineaA:1061,56.999382920163356,60.0,Puan,Carabobo
LineaA:1062,LineaA:1063,66.87702813761341,93.0,Puan,Primera Junta
LineaA:1062,LineaA:1064,212.5190750741646,246.0,Puan,Acoyte
LineaA:1062,LineaA:1065,210.95537240499212,207.0,Puan,Rio de Janeiro
